a,PRZ
istorya,NN
istorya,NN
isulat,VRB
isulod,VRB
isulti,VRB
itaas,NN
itik,NN
itlog,NN
itlog,NN
itoy,NN
iya,NNP
iyaan,NN
iyang,NNP
ka,NNP
kaadlawon,NN
kaagi,NN
kaalam,NN
kaaslom,NN
kaaway,NN
kabaga,NN
kabaga,NN
kabag-o,NN
kabakaba,NN
kabarato,NN
kabasa,NN
kabasabasa,NN
kabaskog,NN
kabastos,NN
kabaw,NN
kabayo,NN
kabituunan,NN
kabituunan,NN
kabos,ADJ
kabuang,NN
kabugat,NN
kabugnaw,NN
kabukiran,NN
kabukiran,NN
kabuntagon,NN
kada adlaw,ADV
kada bulaw,ADV
kada buntag,ADV
kada gabii,ADV
kada hapon,ADV
kada higayon,ADV
kada semana,ADV
kada tuig,ADV
kada udto,ADV
kadagatan,NN
Kadagatan sa Atlantiko,NN
Kadagatan sa Pasipiko,NN
kadaghan,NN
kadaghanan,NN
kadahunan,NN
kadahunan,NN
kadako,NN
kadako,NN
kadakon,NN
kadasok,NN
kadato,NN
kadautan,NN
kadiyot,NN
kadlawon,NN
kadtong,PRZ
kadugay,NN
kadugayon,NN
kadugo,NN
kadula,NN
kaduol,NN
kaduulan,NN
kadyutayan,NN
kagabhion,NN
kagabii,ADV
kagahapon,ADV
kagahapon sa buntag,ADV
kagahapon sa hapon,ADV
kagahapon sa udto,ADV
kagahi,NN
kagahi,NN
kagamay,NN
kaganina,ADV
kagikanan,NN
kagutom,NN
kahabol,NN
kahait,NN
kahapunon,NN
kahayag,NN
kahibalo,NN
kahibulong,NN
kahikti,NN
kahil,NN
kahilom,NN
kahinog,NN
kahon,NN
kahoy,NN
kahoy,NN
kahugaw,NN
kahugot,NN
kahumok,NN
kahumot,NN
kahumot,NN
kahusto,NN
kaila,NN
kaisog,NN
kakahuyan,NN
kakahuyan,NN
kakapoy,NN
kakatulgon,NN
kalaay,NN
kaladmon,NN
kalainan,NN
kalanggama,NN
kalanggaman,NN
kalapad,NN
kalapad,NN
kalasangan,NN
kalawom,NN
kalawom,NN
kalayo,NN
kalayo,NN
kalendaryo,NN
kalibang,VRB
kalibunan,NN
kalibutan,NN
kaligo,VRB
kalim-ag usa,NBR
kalim-an,NBR
kalimpyo,NN
kalimtan,VRB
kalimti,VRB
kalimutaw,NN
kalinaw,NN
kalisod,NN
kalo,NN
kaluag,NN
kalupo,NN
kaluya,NN
kalye,NN
kamabaw,NN
kamad-an,NN
kamagulangan,NN
kamatay,VRB
kamatis,NN
kamatutuan,NN
kami,NNP
kamingawan,NN
kaminyoon,NN
kamisa,NN
kamisin,NN
kamisita,NN
kamo,NNP
kamot,NN
kamot,NN
kamote,NN
kampanya,NN
kamubo,NN
Kana,NN
kanako,NNP
kanal,NN
kanamo,NNP
kanang,PRZ
kanayo,NNP
kandela,NN
kandila,NN
kanding,NN
kang,TO
kangalan,NN
kangil-ad,NN
kangitngit,NN
kangitngit,NN
kanila,NNP
kanimo,NNP
kaninyo,NNP
kanipis,NN
kaniya,NNP
Kano,NN
kan-on,NN
kan-on,VRB
kanta,NN
kanta,VRB
kantaha,VRB
kantahan,VRB
kantahi,VRB
kantahon,VRB
kantidad,NN
kan-umag usa,NBR
kan-uman,NBR
kanunay,ADV
kanyon,NN
kaon,NN
kaon,VRB
kapait,NN
kapanulundanan,NN
kap-atag usa,NBR
kap-atan,NBR
kapayas,NN
kape,NN
kapin,PREP
kapitolyo,NN
kapituag usa,NBR
kapituan,NBR
kapobre,NN
kapulisan,NN
kapulisan,NN
kapuluan,NN
kapuluan,NN
kaputli,NN
karaan,ADJ
karetera,NN
karmelitos,NN
karne,NN
karneng,NN
karneng,NN
karomata,NN
karon,ADV
karon dayon,ADV
karong adlawa,ADV
karong bulan,ADV
karong Dominggo,ADV
karong Enero,ADV
karong gabii,ADV
karong semana,ADV
karong tuig,ADV
karsada,NN
karsones,NN
karton,NN
kasabutan,NN
kasadpan,NN
kasagaran,ADJ
kasal,NN
kasayon,NN
kasayuran,NN
kasili,NN
kasilyas,NN
kasingkasing,NN
kasiyamag nwebe,NBR
kasiyamag usa,NBR
kasiyaman,NBR
kasubo,NN
kasumaran,NN
kasundaluhan,NN
kataas,NN
kataas,NN
katam-is,NN
katapulan,NN
katapusan,ADJ
katason,NN
katawa,VRB
kataw-anan,ADJ
katawhan,NN
katawhan,NN
katibuok,NN
katingala,NN
katluag usa,NBR
katluan,NBR
kato,ADJ
Katoliko,NN
katre,NN
katuigan,NN
katuigan,NN
katulgon,NN
katulgon,ADJ
katulog,VRB
katuon,ADJ
kauban,NN
kauga,NN
kauhaw,NN
kauluhan,NN
kawalwag usa,NBR
kawalwan,NBR
kawatan,NN
kawhaag duha,NBR
kawhaag lima,NBR
kawhaag pito,NBR
kawhaag siyam,NBR
kawhaag tulo,NBR
kawhaag unom,NBR
kawhaag upat,NBR
kawhaag usa,NBR
kawhaag walo,NBR
kawhaan,NBR
kawili-wili,ADJ
kay,PREP
kayda,NN
keik,NN
kerida,NN
keso,NN
kilat,NN
kilay,NN
kilo,NN
kilometro,NN
kilometro kubiko,NN
kilometro kwadrado,NN
kilowat,NN
kinaadman,NN
kinabuhi,NN
kinahanglanon,VRB
kinaiyahan,NN
kinhason,NN
kining,PRZ
kinugos,NN
kinuwanggol,ADJ
kisame,NN
kita,NNP
kitaa,VRB
kitaon,VRB
klase,NN
klasmet,NN
klima,NN
klinika,NN
ko,NNP
kolehiyo,NN
kolor,NN
komadre,NN
komersyo,NN
kompadre,NN
kompaniya,NN
komposisyon,NN
koneho,NN
korbata,NN
koreksyon,NN
koreyo,NN
kotse,NN
kriminal,NN
Kristo,NN
Kristohanon,NN
Kristyanismo,NN
Kristyano,NN
kubos,ADJ
kugihan,ADJ
kugita,NN
kuhaa,VRB
kuhaan,VRB
kuhai,VRB
kuhaon,VRB
kuko,NN
kuko,NN
kuko,NN
kulang,ADJ
kulintas,NN
kultura,NN
kumagko,NN
kunot,NN
kurba,ADJ
kurso,NN
kusgan,ADJ
kusina,NN
kusinera,NN
kusinero,NN
kusog,ADJ
kutsara,NN
kutsilyo,NN
kuyaw,ADJ
kuyog,PREP
kuyogan,VRB
kuyogi,VRB
kwadro,NN
kwarta,NN
kwartahan,ADJ
kwarto,NN
kweba,NN
kwentas,NN
laay,ADJ
labandera,NN
labandero,NN
labhan,VRB
labhi,VRB
labing,SADJ
labing daghan,ADJ
labing dautan,ADJ
labing dyutay,ADJ
lagos,NN
lagos,NN
lagwerta,NN
lahi,ADJ
lahos,PREP
lain,NN
lain,ADJ
lainlain,ADJ
lakaw,NN
laki,NN
laki,NN
laking manok,NN
laksot,ADJ
lakwa,VRB
lakwon,VRB
lalaki,NN
lalaki,NN
lalaki,NN
lalaki,NN
lalaki,NN
lalaki,NN
lalaki,NN
lalaki,NN
lalaki,NN
lalaki,NN
lalaki,NN
lalaki,NN
lalawigan,NN
lamas,NN
lamesa,NN
lami,ADJ
lamian,ADJ
lamok,NN
lampara,NN
lamparilya,NN
lanaw,NN
langaw,NN
langgam,NN
langgam,NN
langit,NN
langob,NN
langoy,VRB
langoya,VRB
langoyon,VRB
langyaw,NN
lansang,NN
lapad,NN
lapad,ADJ
lapa-lapa,NN
lapis,NN
lapok,NN
lapyahan,NN
laraw,NN
larawan,NN
lasang,NN
lata,NN
lawa,NN
lawak,NN
lawaktipiganan,NN
lawalawa,NN
lawas,NN
lawas,NN
laway,NN
lawod,NN
lawom,NN
lawom,ADJ
layo,NN
layo,ADJ
layo-layo,DAJ
leksyon,NN
letra,NN
letrato,NN
letsugas,NN
libra,NN
libreriya,NN
libro,NN
libro,NN
ligoa,VRB
lig-on,ADJ
ligoon,VRB
likod,NN
lima,NBR
lima ka gatos,NBR
lima ka libo,NBR
limpyo,NN
limpyo,ADJ
limpyohan,VRB
limpyohi,VRB
linaw,NN
linaw,NN
linaw,ADJ
lingaw,NN
lingawa,VRB
lingawon,VRB
lingin,NN
lingkawas,ADJ
lingkod,VRB
lingkuran,VRB
lingkuranan,NN
lingkuri,VRB
linis,ADJ
linog,NN
linya,NN
liog,NN
lipak,NN
lisod,NN
lisod,ADJ
listo,ADJ
liti,NN
litro,NN
liyon,NN
lobo,NN
lola,NN
lolo,NN
luag,NN
luag,ADJ
lubi,NN
lubot,NN
lugak,ADJ
lugar,NN
lugas,NN
lugaw,NN
lukso,VRB
luksoha,VRB
luksohon,VRB
lulinghayaw,NN
Lunes,NN
lungsuranon,NN
lunop,NN
lupad,NN
luso,NN
luto,NN
luto,VRB
lutoa,VRB
lutoan,VRB
lutoi,VRB
lutoon,VRB
luwas,ADJ
luya,NN
luya,ADJ
luya,ADJ
luy-a,NN
maabli,VRB
maabot,VRB
maaghop,ADJ
maampingon,ADJ
maantigo,ADJ
maayo,ADJ
maayo,ADJ
maayog bisti,ADJ
maayog salabutan,ADJ
mabaligya,VRB
mabanha,ADJ
mabasa,VRB
mabaw,NN
mabaw,ADJ
mabayad,VRB
mabdos,ADJ
mabinantayon,ADJ
mabuak,VRB
mabuak,VRB
mabuhat,VRB
mabutang,VRB
madagmalon,ADJ
madala,VRB
madawat,VRB
madula,VRB
madungog,VRB
maestra,NN
maestro,NN
magaabli,VRB
magaawat,NN
magaaway,NN
magaawit,NN
magabaligya,VRB
magabasa,VRB
magabayad,VRB
magabiyahe,VRB
magabli,VRB
magabuhat,VRB
magabutang,VRB
magadagan,VRB
magadala,VRB
magadula,VRB
magagakos,VRB
magagamit,VRB
magahalok,VRB
magahatag,VRB
magahigda,VRB
magahikap,VRB
magahilak,VRB
magahimo,VRB
magahugas,VRB
magahulat,VRB
magahulog,VRB
magahunahuna,VRB
magahunong,VRB
magainom,VRB
magakanta,VRB
magakaon,VRB
magakatawa,VRB
magakos,VRB
magakuha,VRB
magalakaw,VRB
magalangoy,VRB
magalingaw,VRB
magalingkod,VRB
magaluto,VRB
magamata,VRB
magamit,VRB
magapadala,VRB
magapahiyom,VRB
magapahulay,VRB
magapalit,VRB
magapatay,VRB
magapatid,VRB
magapili,VRB
magaputol,VRB
magapuyo,VRB
magasakay,VRB
magasakit,VRB
magasayaw,VRB
magasin,NN
magasinggit,VRB
magasira,VRB
magasto,VRB
magasugod,VRB
magasulat,VRB
magasulod,VRB
magasulti,VRB
magasumbagay,VRB
magatabang,VRB
magatabi,VRB
magatago,VRB
magatan-aw,VRB
magatawag,VRB
magatindog,VRB
magatrabaho,VRB
magatubag,VRB
magatudlo,VRB
magatukod,VRB
magatuo,VRB
magatuon,VRB
magaulan,VRB
magbabalak,NN
magbabaligya,NN
magbabaligya,NN
magbabalita,NN
magbabantay,NN
magbabaol,NN
magbaligya,VRB
magbasa,VRB
magbayad,VRB
magbiyahe,VRB
magbuhat,VRB
magbutang,VRB
magdadagan,NN
magdadaog,NN
magdadawat,NN
magdagan,VRB
magdala,VRB
magdudula,NN
magdudula,NN
magdudumala,NN
magdula,VRB
maggakos,VRB
maggamit,VRB
maghalok,VRB
maghatag,VRB
maghigda,VRB
maghihimo,NN
maghikap,VRB
maghilak,VRB
maghimo,VRB
maghugas,VRB
maghuhubad,NN
maghuhukom,NN
maghuhulagway,NN
maghuhuni,NN
maghulat,VRB
maghulog,VRB
maghunahuna,VRB
maghunong,VRB
maginom,VRB
magkakanta,NN
magkakanta,NN
magkanta,VRB
magkaon,VRB
magkatawa,VRB
magkinahanglan,VRB
magkita,VRB
magkuha,VRB
magkuyog,VRB
maglakaw,VRB
maglalakaw,NN
maglangoy,VRB
maglilingaw,NN
maglingaw,VRB
maglingkod,VRB
magluluto,NN
magluluto,NN
magluto,VRB
magmamando,NN
magmamando,NN
magmata,VRB
magpadala,VRB
magpahiyom,VRB
magpahulay,VRB
magpalit,VRB
magpapalit,NN
magpapatay,NN
magpapatik,NN
magpatay,VRB
magpatid,VRB
magpili,VRB
magputol,VRB
magpuyo,VRB
magsakay,VRB
magsakit,VRB
magsayaw,VRB
magsinggit,VRB
magsira,VRB
magsugod,VRB
magsulat,VRB
magsulod,VRB
magsulti,VRB
magsumbagay,VRB
magsusugid,NN
magsusulat,NN
magtabang,VRB
magtabi,VRB
magtago,VRB
magtan-aw,VRB
magtawag,VRB
magtindog,VRB
magtrabaho,VRB
magtubag,VRB
magtudlo,VRB
magtukod,VRB
magtuo,VRB
magtuon,VRB
magtutudlo,NN
magtutudlo,NN
magtutuon,NN
magtutuon,NN
magtutupi,NN
magulan,VRB
magulang,NN
magul-anon,ADJ
maguuma,NN
mahal,ADJ
mahatag,VRB
mahibalo,VRB
mahigalahon,ADJ
mahigugma,VRB
mahikap,VRB
mahimo,VRB
mahinumdom,VRB
mahinumdoman,VRB
mahitabo,VRB
mahugasan,VRB
mahulat,VRB
mahulog,VRB
mahulog,VRB
mahuman,VRB
mahuman,VRB
mahunahuna,VRB
mailhan,VRB
mainom,VRB
mais,NN
makaabli,VRB
makaabot,VRB
makaadto,VRB
makaanhi,VRB
makabaligya,VRB
makabalik,VRB
makabasa,VRB
makabayad,VRB
makabiya,VRB
makabiyahe,VRB
makabuak,VRB
makabuhat,VRB
makabutang,VRB
makadagan,VRB
makadala,VRB
makadaot,ADJ
makadawat,VRB
makadula,VRB
makadungog,VRB
makagakos,VRB
makagamit,VRB
makagasto,VRB
makahalok,VRB
makahatag,VRB
makahibalo,VRB
makahigda,VRB
makahigugma,VRB
makahikap,VRB
makahilak,VRB
makahilam-os,VRB
makahilo,ADJ
makahimo,VRB
makahinumdom,VRB
makahugas,VRB
makahulat,VRB
makahulog,VRB
makahuman,VRB
makahunahuna,VRB
makahunaw,VRB
makahunong,VRB
makaila,VRB
makaingon,VRB
makainom,VRB
makakanta,VRB
makakaon,VRB
makakatawa,VRB
makakita,VRB
makakuha,VRB
makakuyog,VRB
